epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
49,2231.4,1.06731,0.64305,0.97964,0.03257,0.76937,0.50596,0.53017,0.3804,1.13104,0.87658,1.05448,0.03702,5.49862e-05,5.49862e-05,5.49862e-05
50,2277.78,1.04523,0.62739,0.97585,0.0318,0.76386,0.50504,0.52864,0.3781,1.1377,0.88861,1.053,0.03683,4.72653e-05,4.72653e-05,4.72653e-05
51,2326.27,1.01723,0.62501,0.98897,0.03091,0.76418,0.50434,0.52443,0.37458,1.14501,0.91117,1.0539,0.03612,4.0143e-05,4.0143e-05,4.0143e-05
52,2371.61,1.00013,0.61787,0.98458,0.03045,0.77298,0.50203,0.52811,0.3779,1.13966,0.89826,1.05229,0.0369,3.36386e-05,3.36386e-05,3.36386e-05
53,2417.24,1.01375,0.62161,0.9896,0.03137,0.77079,0.50408,0.52717,0.3782,1.14073,0.89677,1.05227,0.0372,2.77702e-05,2.77702e-05,2.77702e-05
54,2463.35,1.02006,0.62316,0.99742,0.03013,0.7718,0.5038,0.52756,0.37845,1.1375,0.90122,1.05289,0.03747,2.25537e-05,2.25537e-05,2.25537e-05
55,2508.76,0.99394,0.60494,0.98534,0.03015,0.7724,0.50508,0.52928,0.37983,1.1389,0.89466,1.0534,0.03756,1.80034e-05,1.80034e-05,1.80034e-05
56,2554.97,0.98727,0.60589,0.99348,0.03175,0.75886,0.50838,0.5293,0.3791,1.13955,0.89293,1.05115,0.03737,1.41319e-05,1.41319e-05,1.41319e-05
57,2600.32,0.9962,0.61173,0.97601,0.03052,0.76815,0.51027,0.52956,0.37834,1.13873,0.89787,1.04942,0.03758,1.09497e-05,1.09497e-05,1.09497e-05
58,2646.44,1.00434,0.6094,0.98709,0.03231,0.75832,0.511,0.52895,0.37828,1.14055,0.90555,1.05108,0.03758,8.46559e-06,8.46559e-06,8.46559e-06
59,2692.37,1.00957,0.61454,0.98613,0.0309,0.7664,0.50422,0.52933,0.37849,1.13863,0.89529,1.0503,0.0373,6.68633e-06,6.68633e-06,6.68633e-06
60,2738.34,1.00332,0.60823,0.97356,0.03114,0.75584,0.51116,0.52937,0.37866,1.13714,0.9007,1.0508,0.03704,5.61683e-06,5.61683e-06,5.61683e-06
